id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
2143,Radeon RX 5700 XT,16331,113,33.44,$488.33*
2144,Radeon RX 5700 XT 50th Anniversary,16403,110,NA,NA
2145,Radeon RX 570X,1923,891,12.57,$153.01*
2146,Radeon RX 580,8820,283,55.13,$159.99*
2147,Radeon RX 580 2048SP,7665,321,NA,NA
2148,Radeon RX 580X,7536,331,NA,NA
2149,Radeon RX 590,9372,267,17.04,$549.99*
2150,Radeon RX 6300,5308,433,NA,NA
2151,Radeon RX 6300M,6421,366,NA,NA
2152,Radeon RX 640,2145,815,NA,NA
2153,Radeon RX 6400,7661,322,36.06,$212.47*
2154,Radeon RX 6500,7428,334,NA,NA
2155,Radeon RX 6500 XT,9606,257,53.37,$179.99
2156,Radeon RX 6500M,7534,332,NA,NA
2157,Radeon RX 6550M,9772,252,NA,NA
2158,Radeon RX 6600,15102,138,55.94,$269.99
2159,Radeon RX 6600 LE,15387,129,NA,NA
2160,Radeon RX 6600 XT,16479,108,37.45,$439.99*
2161,Radeon RX 6600M,13937,156,38.66,$360.51*
2162,Radeon RX 6600S,12649,190,NA,NA
2163,Radeon RX 6650 XT,17145,98,37.27,$459.99*
2164,Radeon RX 6650M,15018,140,NA,NA
2165,Radeon RX 6650M XT,17070,100,NA,NA
2166,Radeon RX 6700,19164,84,NA,NA
2167,Radeon RX 6700 XT,19813,75,20.99,$943.93*
2168,Radeon RX 6700M,13617,162,50.44,$269.99*
2169,Radeon RX 6700S,15037,139,50.13,$299.99*
2170,Radeon RX 6750 GRE 10GB,18354,90,NA,NA
2171,Radeon RX 6750 GRE 12GB,19956,72,NA,NA
2172,Radeon RX 6750 XT,20721,65,51.80,$399.99*
2173,Radeon RX 6800,22116,57,26.51,$834.37*
2174,Radeon RX 6800 XT,25004,38,39.07,$639.99*
2175,Radeon RX 6800M,13252,171,NA,NA
2176,Radeon RX 6800S,15826,120,NA,NA
2177,Radeon RX 6850M,12274,201,NA,NA
2178,Radeon RX 6850M XT,17336,96,NA,NA
2179,Radeon RX 6900 XT,26754,32,17.72,"$1,509.67*"
2180,Radeon RX 6950 XT,28142,22,28.14,$999.99*
