,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
173,31,Intel i7-14700K,1470,Apple M2 8 Core 3500 MHz,"15,650",1002,nan
174,31,Intel i7-14700K,4700,QTI MSM8937,"2,142",3152,nan
175,33,Intel i9-14900KF,0,AArch64,833,4213,nan
176,33,Intel i9-14900KF,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
177,33,Intel i9-14900KF,4,AC8259V/WAB,910,4124,nan
178,33,Intel i9-14900KF,9,Allwinner H618,623,4464,nan
179,33,Intel i9-14900KF,14,AMD 4700S,"17,756",899,nan
180,33,Intel i9-14900KF,49,AMD A12-9700P,"2,427",2978,nan
181,33,Intel i9-14900KF,90,AMD A6 Micro-6500T APU,"1,146",3882,nan
182,33,Intel i9-14900KF,149,AMD A8-5550M APU,"1,816",3360,nan
183,33,Intel i9-14900KF,490,AMD EPYC 7401P,"27,836",475,11.13
184,33,Intel i9-14900KF,900,AMD PRO A6-8550B,"1,882",3316,nan
185,33,Intel i9-14900KF,1490,ARM - 32 Core 3300 MHz,"8,684",1467,nan
186,33,Intel i9-14900KF,4900,"Qualcomm Technologies, Inc SM8350","6,117",1861,nan
187,35,Intel i9-14900K,0,AArch64,833,4213,nan
188,35,Intel i9-14900K,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
189,35,Intel i9-14900K,4,AC8259V/WAB,910,4124,nan
190,35,Intel i9-14900K,9,Allwinner H618,623,4464,nan
191,35,Intel i9-14900K,14,AMD 4700S,"17,756",899,nan
192,35,Intel i9-14900K,49,AMD A12-9700P,"2,427",2978,nan
193,35,Intel i9-14900K,90,AMD A6 Micro-6500T APU,"1,146",3882,nan
194,35,Intel i9-14900K,149,AMD A8-5550M APU,"1,816",3360,nan
195,35,Intel i9-14900K,490,AMD EPYC 7401P,"27,836",475,11.13
196,35,Intel i9-14900K,900,AMD PRO A6-8550B,"1,882",3316,nan
197,35,Intel i9-14900K,1490,ARM - 32 Core 3300 MHz,"8,684",1467,nan
198,35,Intel i9-14900K,4900,"Qualcomm Technologies, Inc SM8350","6,117",1861,nan
199,37,Intel i3-12100,0,AArch64,833,4213,nan
200,37,Intel i3-12100,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
201,37,Intel i3-12100,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
202,37,Intel i3-12100,3,AC8257V/WAB,788,4263,nan
203,37,Intel i3-12100,10,Allwinner h728,"1,953",3264,nan
204,37,Intel i3-12100,12,AMD 3015e,"2,657",2847,nan
205,37,Intel i3-12100,21,AMD A10-4657M APU,"1,759",3408,nan
206,37,Intel i3-12100,100,AMD A6-3620 APU,"1,869",3323,83.09
207,37,Intel i3-12100,121,AMD A6-8500P,"1,445",3620,nan
208,37,Intel i3-12100,210,AMD Athlon 64 FX-62 Dual Core,993,4040,3.97
209,37,Intel i3-12100,1210,AMD Ryzen 7 PRO 8840U,"23,742",601,nan
210,37,Intel i3-12100,2100,Intel Core i3-10100 @ 3.60GHz,"8,597",1478,85.33
211,38,Intel i5-12400F,0,AArch64,833,4213,nan
